uuid,gene_curie,gene_symbol,disease_curie,disease_title,disease_original_curie,disease_original_title,classification_curie,classification_title,moi_curie,moi_title,submitter_curie,submitter_title,submitted_as_hgnc_id,submitted_as_hgnc_symbol,submitted_as_disease_id,submitted_as_disease_name,submitted_as_moi_id,submitted_as_moi_name,submitted_as_submitter_id,submitted_as_submitter_name,submitted_as_classification_id,submitted_as_classification_name,submitted_as_date,submitted_as_public_report_url,submitted_as_notes,submitted_as_pmids,submitted_as_assertion_criteria_url,submitted_as_submission_id,submitted_run_date,submitted_year,pub_year
GENCC_000106-HGNC_32456-OMIM_613661-HP_0000007-GENCC_100002,HGNC:32456,ALG11,MONDO:0013349,ALG11-congenital disorder of glycosylation,OMIM:613661,"Congenital disorder of glycosylation, type Ip",GENCC:100002,Strong,HP:0000007,Autosomal recessive,GENCC:000106,Invitae,HGNC:32456,ALG11,OMIM:613661,ALG11-congenital disorder of glycosylation,HP:0000007,Autosomal recessive,GENCC:000106,Invitae,GENCC:100002,Strong,2023-04-10 19:19:16,,,30676690,https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/1,ALG110ALG11CDG,2023-11-30,2023,2019
GENCC_000106-HGNC_23056-OMIM_601110-HP_0000007-GENCC_100002,HGNC:23056,ALG3,MONDO:0010998,ALG3-congenital disorder of glycosylation,OMIM:601110,"Congenital disorder of glycosylation, type Id",GENCC:100002,Strong,HP:0000007,Autosomal recessive,GENCC:000106,Invitae,HGNC:23056,ALG3,OMIM:601110,ALG3-congenital disorder of glycosylation,HP:0000007,Autosomal recessive,GENCC:000106,Invitae,GENCC:100002,Strong,2021-02-19 13:58:13,,,10581255,https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/1,ALG30ALG3CDG,2023-11-30,2021,1999
GENCC_000106-HGNC_23056-OMIM_601110-HP_0000007-GENCC_100002,HGNC:23056,ALG3,MONDO:0010998,ALG3-congenital disorder of glycosylation,OMIM:601110,"Congenital disorder of glycosylation, type Id",GENCC:100002,Strong,HP:0000007,Autosomal recessive,GENCC:000106,Invitae,HGNC:23056,ALG3,OMIM:601110,ALG3-congenital disorder of glycosylation,HP:0000007,Autosomal recessive,GENCC:000106,Invitae,GENCC:100002,Strong,2021-02-19 13:58:13,,,15108280,https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/1,ALG30ALG3CDG,2023-11-30,2021,2004
GENCC_000106-HGNC_23056-OMIM_601110-HP_0000007-GENCC_100002,HGNC:23056,ALG3,MONDO:0010998,ALG3-congenital disorder of glycosylation,OMIM:601110,"Congenital disorder of glycosylation, type Id",GENCC:100002,Strong,HP:0000007,Autosomal recessive,GENCC:000106,Invitae,HGNC:23056,ALG3,OMIM:601110,ALG3-congenital disorder of glycosylation,HP:0000007,Autosomal recessive,GENCC:000106,Invitae,GENCC:100002,Strong,2021-02-19 13:58:13,,,15840742,https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/1,ALG30ALG3CDG,2023-11-30,2021,2005
GENCC_000106-HGNC_23056-OMIM_601110-HP_0000007-GENCC_100002,HGNC:23056,ALG3,MONDO:0010998,ALG3-congenital disorder of glycosylation,OMIM:601110,"Congenital disorder of glycosylation, type Id",GENCC:100002,Strong,HP:0000007,Autosomal recessive,GENCC:000106,Invitae,HGNC:23056,ALG3,OMIM:601110,ALG3-congenital disorder of glycosylation,HP:0000007,Autosomal recessive,GENCC:000106,Invitae,GENCC:100002,Strong,2021-02-19 13:58:13,,,16006436,https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/1,ALG30ALG3CDG,2023-11-30,2021,2005
GENCC_000106-HGNC_23056-OMIM_601110-HP_0000007-GENCC_100002,HGNC:23056,ALG3,MONDO:0010998,ALG3-congenital disorder of glycosylation,OMIM:601110,"Congenital disorder of glycosylation, type Id",GENCC:100002,Strong,HP:0000007,Autosomal recessive,GENCC:000106,Invitae,HGNC:23056,ALG3,OMIM:601110,ALG3-congenital disorder of glycosylation,HP:0000007,Autosomal recessive,GENCC:000106,Invitae,GENCC:100002,Strong,2021-02-19 13:58:13,,,16053906,https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/1,ALG30ALG3CDG,2023-11-30,2021,2005
GENCC_000106-HGNC_23056-OMIM_601110-HP_0000007-GENCC_100002,HGNC:23056,ALG3,MONDO:0010998,ALG3-congenital disorder of glycosylation,OMIM:601110,"Congenital disorder of glycosylation, type Id",GENCC:100002,Strong,HP:0000007,Autosomal recessive,GENCC:000106,Invitae,HGNC:23056,ALG3,OMIM:601110,ALG3-congenital disorder of glycosylation,HP:0000007,Autosomal recessive,GENCC:000106,Invitae,GENCC:100002,Strong,2021-02-19 13:58:13,,,17551933,https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/1,ALG30ALG3CDG,2023-11-30,2021,2007
GENCC_000106-HGNC_23056-OMIM_601110-HP_0000007-GENCC_100002,HGNC:23056,ALG3,MONDO:0010998,ALG3-congenital disorder of glycosylation,OMIM:601110,"Congenital disorder of glycosylation, type Id",GENCC:100002,Strong,HP:0000007,Autosomal recessive,GENCC:000106,Invitae,HGNC:23056,ALG3,OMIM:601110,ALG3-congenital disorder of glycosylation,HP:0000007,Autosomal recessive,GENCC:000106,Invitae,GENCC:100002,Strong,2021-02-19 13:58:13,,,18679822,https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/1,ALG30ALG3CDG,2023-11-30,2021,2008
GENCC_000106-HGNC_23056-OMIM_601110-HP_0000007-GENCC_100002,HGNC:23056,ALG3,MONDO:0010998,ALG3-congenital disorder of glycosylation,OMIM:601110,"Congenital disorder of glycosylation, type Id",GENCC:100002,Strong,HP:0000007,Autosomal recessive,GENCC:000106,Invitae,HGNC:23056,ALG3,OMIM:601110,ALG3-congenital disorder of glycosylation,HP:0000007,Autosomal recessive,GENCC:000106,Invitae,GENCC:100002,Strong,2021-02-19 13:58:13,,,19862844,https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/1,ALG30ALG3CDG,2023-11-30,2021,2010
GENCC_000106-HGNC_23056-OMIM_601110-HP_0000007-GENCC_100002,HGNC:23056,ALG3,MONDO:0010998,ALG3-congenital disorder of glycosylation,OMIM:601110,"Congenital disorder of glycosylation, type Id",GENCC:100002,Strong,HP:0000007,Autosomal recessive,GENCC:000106,Invitae,HGNC:23056,ALG3,OMIM:601110,ALG3-congenital disorder of glycosylation,HP:0000007,Autosomal recessive,GENCC:000106,Invitae,GENCC:100002,Strong,2021-02-19 13:58:13,,,26126960,https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/1,ALG30ALG3CDG,2023-11-30,2021,2016
