action,timestamp,notes
start case,7/11/2024 10:15:14,
standard search,7/11/2024 10:17:44,
new variant review,7/11/2024 10:23:46,
note-taking,7/11/2024 10:23:54,VN0000181_rare_within_populati
move on from variant,7/11/2024 10:25:22,
standard search,7/11/2024 10:26:12,
new variant review,7/11/2024 10:27:50,
note-taking,7/11/2024 10:27:54,VN0000182_may_be_of_note_for_t
move on from variant,7/11/2024 10:28:02,
new variant review,7/11/2024 10:28:36,
click-out from seqr,7/11/2024 10:28:46,
click-back into seqr,7/11/2024 10:29:04,
click-out from seqr,7/11/2024 10:29:12,
click-back into seqr,7/11/2024 10:29:30,
note-taking,7/11/2024 10:29:40,VN0000183_too_common_no_clear
move on from variant,7/11/2024 10:29:58,
new variant review,7/11/2024 10:31:34,
note-taking,7/11/2024 10:31:36,VN0000184_too_common_within_da
note-taking,7/11/2024 10:32:46,VN0000184_too_common_within_da
click-out from seqr,7/11/2024 10:33:04,
click-back into seqr,7/11/2024 10:33:14,
note-taking,7/11/2024 10:33:26,VN0000185_conflicting_interpre
move on from variant,7/11/2024 10:33:50,
new variant review,7/11/2024 10:34:46,
note-taking,7/11/2024 10:34:46,VN0000186_variant_does_not_hav
move on from variant,7/11/2024 10:35:12,
new variant review,7/11/2024 10:34:46,
note-taking,7/11/2024 10:34:46,VN0000187_high_constraint_mis
move on from variant,7/11/2024 10:37:46,
new variant review,7/11/2024 10:39:04,
note-taking,7/11/2024 10:39:04,VN0000188_low_scores_not_comm
click-out from seqr,7/11/2024 10:39:58,
click-back into seqr,7/11/2024 10:40:24,
click-out from seqr,7/11/2024 10:40:28,
click-back into seqr,7/11/2024 10:41:48,
note-taking,7/11/2024 10:41:52,VN0000189_rare_within_databa
click-out from seqr,7/11/2024 10:42:18,
click-back into seqr,7/11/2024 10:42:46,
note-taking,7/11/2024 10:42:50,VN0000189_rare_within_databa
move on from variant,7/11/2024 10:43:20,
new variant review,7/11/2024 10:47:26,
note-taking,7/11/2024 10:47:28,VN0000190_reare_within_databas
note-taking,7/11/2024 10:48:32,VN0000191_this_variant_is_inhe
click-out from seqr,7/11/2024 10:49:24,
click-back into seqr,7/11/2024 10:50:06,
move on from variant,7/11/2024 10:50:14,
custom search,7/11/2024 10:53:26,VS0000130_
custom search,7/11/2024 10:54:21,VS0000131_
custom search,7/11/2024 10:54:53,VS0000132_
new variant review,7/11/2024 10:55:18,
click-out from seqr,7/11/2024 10:55:20,
click-back into seqr,7/11/2024 10:55:34,
move on from variant,7/11/2024 10:55:38,
custom search,7/11/2024 10:56:06,VS0000133_
custom search,7/11/2024 10:56:14,VS0000134_
new variant review,7/11/2024 10:56:48,
note-taking,7/11/2024 10:56:50,VN0000192_known_for_causing_id
move on from variant,7/11/2024 10:57:26,
new variant review,7/11/2024 10:57:56,
note-taking,7/11/2024 10:57:58,VN0000193_common_in_call_set_s
move on from variant,7/11/2024 10:58:22,
new variant review,7/11/2024 10:58:32,
note-taking,7/11/2024 10:58:34,VN0000194_too_common
move on from variant,7/11/2024 10:58:36,
new variant review,7/11/2024 10:58:40,
note-taking,7/11/2024 10:58:42,VN0000195_too_common
move on from variant,7/11/2024 10:58:42,
new variant review,7/11/2024 10:58:56,
note-taking,7/11/2024 10:58:58,VN0000196_too_common
move on from variant,7/11/2024 10:59:00,
new variant review,7/11/2024 11:01:06,
click-out from seqr,7/11/2024 11:01:08,
click-back into seqr,7/11/2024 11:01:18,
move on from variant,7/11/2024 11:01:20,
review saved variant,7/11/2024 11:02:08,
click-out from seqr,7/11/2024 11:02:28,
click-back into seqr,7/11/2024 11:02:42,
click-out from seqr,7/11/2024 11:02:44,
click-back into seqr,7/11/2024 11:03:06,
click-out from seqr,7/11/2024 11:03:10,
click-back into seqr,7/11/2024 11:03:32,
move on from variant,7/11/2024 11:03:52,
review saved variant,7/11/2024 11:04:54,
click-out from seqr,7/11/2024 11:05:42,
click-back into seqr,7/11/2024 11:06:00,
click-out from seqr,7/11/2024 11:06:00,
click-back into seqr,7/11/2024 11:06:02,
note-taking,7/11/2024 11:06:12,VN0000197_2_known_gdr_sjs_typ
move on from variant,7/11/2024 11:06:26,
review saved variant,7/11/2024 11:06:28,
note-taking,7/11/2024 11:06:30,VN0000189_rare_within_databa
move on from variant,7/11/2024 11:06:38,
review saved variant,7/11/2024 11:06:40,
click-out from seqr,7/11/2024 11:06:50,
click-back into seqr,7/11/2024 11:06:54,
move on from variant,7/11/2024 11:06:58,
review saved variant,7/11/2024 11:07:12,
click-out from seqr,7/11/2024 11:07:12,
click-back into seqr,7/11/2024 11:07:22,
move on from variant,7/11/2024 11:07:22,
review saved variant,7/11/2024 11:07:46,
click-out from seqr,7/11/2024 11:07:52,
click-back into seqr,7/11/2024 11:07:56,
click-out from seqr,7/11/2024 11:07:58,
click-back into seqr,7/11/2024 11:08:10,
move on from variant,7/11/2024 11:08:42,
review saved variant,7/11/2024 11:09:14,
click-out from seqr,7/11/2024 11:09:20,
click-back into seqr,7/11/2024 11:09:26,
publication search,7/11/2024 11:09:34,
note-taking,7/11/2024 11:10:18,VN0000198_not_widely_expressed
move on from variant,7/11/2024 11:11:04,
review saved variant,7/11/2024 11:11:32,
note-taking,7/11/2024 11:11:34,VN0000199_11_other_variants_m
note-taking,7/11/2024 11:11:58,VN0000200_no_clear_gdr_with_lg
move on from variant,7/11/2024 11:12:10,
review saved variant,7/11/2024 11:12:28,
note-taking,7/11/2024 11:12:32,VN0000201_2_other_variants_1
move on from variant,7/11/2024 11:13:16,
