action,timestamp,notes
start case,7/17/2024 10:15:50,
standard search,7/17/2024 10:16:42,
new variant review,7/17/2024 10:17:42,
click-out from seqr,7/17/2024 10:17:45,
click-back into seqr,7/17/2024 10:17:59,
note-taking,7/17/2024 10:18:01,VN0000282_nance_horan_syndrome
move on from variant,7/17/2024 10:18:03,
new variant review,7/17/2024 10:19:03,
note-taking,7/17/2024 10:19:04,VN0000283_hom1
move on from variant,7/17/2024 10:19:05,
standard search,7/17/2024 10:19:17,
new variant review,7/17/2024 10:20:46,
click-out from seqr,7/17/2024 10:20:46,
click-back into seqr,7/17/2024 10:21:02,
move on from variant,7/17/2024 10:21:04,
new variant review,7/17/2024 10:21:28,
note-taking,7/17/2024 10:21:29,VN0000284_017httpssplic
click-out from seqr,7/17/2024 10:21:31,
click-back into seqr,7/17/2024 10:21:45,
note-taking,7/17/2024 10:21:46,VN0000285_neurodevelopmental_d
click-out from seqr,7/17/2024 10:21:54,
click-back into seqr,7/17/2024 10:22:04,
note-taking,7/17/2024 10:22:14,VN0000286_hom4
note-taking,7/17/2024 10:22:17,VN0000287_weak_variant
note-taking,7/17/2024 10:22:25,VN0000288_some_overlap_with_pa
move on from variant,7/17/2024 10:22:42,
new variant review,7/17/2024 10:22:53,
click-out from seqr,7/17/2024 10:22:53,
click-back into seqr,7/17/2024 10:23:00,
move on from variant,7/17/2024 10:23:01,
new variant review,7/17/2024 10:23:28,
click-out from seqr,7/17/2024 10:23:30,
click-back into seqr,7/17/2024 10:23:43,
note-taking,7/17/2024 10:23:58,VN0000289_mean_age_of_onset_30
click-out from seqr,7/17/2024 10:24:02,
click-back into seqr,7/17/2024 10:24:12,
note-taking,7/17/2024 10:24:14,VN0000290_hereditary_spastic_p
click-out from seqr,7/17/2024 10:24:18,
click-back into seqr,7/17/2024 10:24:27,
note-taking,7/17/2024 10:24:38,VN0000291_check_reads_when_ava
move on from variant,7/17/2024 10:24:44,
new variant review,7/17/2024 10:24:56,
note-taking,7/17/2024 10:24:56,VN0000292_hom1
move on from variant,7/17/2024 10:24:58,
new variant review,7/17/2024 10:25:10,
click-out from seqr,7/17/2024 10:25:11,
click-back into seqr,7/17/2024 10:25:20,
note-taking,7/17/2024 10:25:22,VN0000293_simha_syndrome_is_ch
move on from variant,7/17/2024 10:25:25,
new variant review,7/17/2024 10:25:41,
note-taking,7/17/2024 10:25:42,VN0000294_hemi12
move on from variant,7/17/2024 10:25:43,
new variant review,7/17/2024 10:25:50,
note-taking,7/17/2024 10:25:50,VN0000295_hemi26
move on from variant,7/17/2024 10:25:52,
new variant review,7/17/2024 10:27:36,
note-taking,7/17/2024 10:27:37,VN0000296_hemi38
move on from variant,7/17/2024 10:27:38,
new variant review,7/17/2024 10:27:46,
note-taking,7/17/2024 10:27:47,VN0000297_hemi137
move on from variant,7/17/2024 10:27:48,
new variant review,7/17/2024 10:27:58,
note-taking,7/17/2024 10:28:00,VN0000298_spliceai018https
move on from variant,7/17/2024 10:28:02,
review saved variant,7/17/2024 10:29:40,
note-taking,7/17/2024 10:29:42,VN0000299_not_predicted_to_aff
move on from variant,7/17/2024 10:29:51,
review saved variant,7/17/2024 10:30:02,
