action,timestamp,notes
start case,7/9/2024 15:15:47,
standard search,7/9/2024 15:16:03,
new variant review,7/9/2024 15:16:18,
click-out from seqr,7/9/2024 15:16:49,
click-back into seqr,7/9/2024 15:16:51,
click-out from seqr,7/9/2024 15:17:01,
click-back into seqr,7/9/2024 15:17:14,
note-taking,7/9/2024 15:18:03,VN0000121_migraines_and_restle
table interaction,7/9/2024 15:18:21,
publication reading,7/9/2024 15:18:47,PMID:35350973
click-out from seqr,7/9/2024 15:20:47,
click-back into seqr,7/9/2024 15:21:59,
publication reading,7/9/2024 15:22:37,PMID:35350973
note-taking,7/9/2024 15:23:05,VN0000121_migraines_and_restle
move on from variant,7/9/2024 15:23:33,
standard search,7/9/2024 15:23:41,
new variant review,7/9/2024 15:24:29,
click-out from seqr,7/9/2024 15:24:33,
click-back into seqr,7/9/2024 15:24:43,
table interaction,7/9/2024 15:24:47,
move on from variant,7/9/2024 15:25:25,
new variant review,7/9/2024 15:25:39,
table interaction,7/9/2024 15:25:39,
publication reading,7/9/2024 15:25:49,PMID:25629512
move on from variant,7/9/2024 15:25:57,
new variant review,7/9/2024 15:26:01,
click-out from seqr,7/9/2024 15:26:03,
click-back into seqr,7/9/2024 15:26:21,
move on from variant,7/9/2024 15:26:27,
new variant review,7/9/2024 15:26:45,
table interaction,7/9/2024 15:26:47,
publication reading,7/9/2024 15:27:33,PMID:38347522
note-taking,7/9/2024 15:29:19,VN0000122_probably_not_likely
publication reading,7/9/2024 15:29:41,PMID:21729877
move on from variant,7/9/2024 15:30:23,
new variant review,7/9/2024 15:30:45,
click-out from seqr,7/9/2024 15:30:47,
click-back into seqr,7/9/2024 15:31:15,
note-taking,7/9/2024 15:31:31,VN0000123_check_other_ac_in_ca
move on from variant,7/9/2024 15:31:49,
standard search,7/9/2024 15:31:57,
new variant review,7/9/2024 15:32:07,
table interaction,7/9/2024 15:32:09,
move on from variant,7/9/2024 15:32:21,
standard search,7/9/2024 15:33:09,
new variant review,7/9/2024 15:34:09,
click-out from seqr,7/9/2024 15:34:39,
click-back into seqr,7/9/2024 15:34:59,
move on from variant,7/9/2024 15:35:03,
new variant review,7/9/2024 15:35:53,
table interaction,7/9/2024 15:35:59,
publication reading,7/9/2024 15:37:11,PMID:37454282
note-taking,7/9/2024 15:40:11,VN0000124_interestingly_the_c
click-out from seqr,7/9/2024 15:40:25,
click-back into seqr,7/9/2024 15:40:59,
note-taking,7/9/2024 15:41:55,VN0000125_no_second_hit
move on from variant,7/9/2024 15:42:05,
new variant review,7/9/2024 15:42:27,
click-out from seqr,7/9/2024 15:42:29,
click-back into seqr,7/9/2024 15:42:49,
move on from variant,7/9/2024 15:42:59,
new variant review,7/9/2024 15:43:19,
click-out from seqr,7/9/2024 15:43:29,
click-back into seqr,7/9/2024 15:43:41,
move on from variant,7/9/2024 15:43:45,
new variant review,7/9/2024 15:43:53,
table interaction,7/9/2024 15:43:55,
publication reading,7/9/2024 15:44:09,PMID:33925809
publication reading,7/9/2024 15:44:43,PMID:35062878
publication reading,7/9/2024 15:44:50,PMID:31616690
move on from variant,7/9/2024 15:45:15,
new variant review,7/9/2024 15:45:59,
click-out from seqr,7/9/2024 15:46:01,
click-back into seqr,7/9/2024 15:46:17,
move on from variant,7/9/2024 15:46:45,
new variant review,7/9/2024 15:46:55,
click-out from seqr,7/9/2024 15:46:55,
click-back into seqr,7/9/2024 15:47:17,
table interaction,7/9/2024 15:47:23,
click-out from seqr,7/9/2024 15:47:53,
click-back into seqr,7/9/2024 15:47:57,
click-out from seqr,7/9/2024 15:48:37,
publication reading,7/9/2024 15:48:55,PMID:36965478
click-back into seqr,7/9/2024 15:50:15,
publication reading,7/9/2024 15:52:27,PMID:36965478
click-out from seqr,7/9/2024 15:52:47,
click-back into seqr,7/9/2024 15:53:43,
click-out from seqr,7/9/2024 15:54:47,
click-back into seqr,7/9/2024 15:57:47,
note-taking,7/9/2024 15:58:07,VN0000126_might_cause_intron_r
note-taking,7/9/2024 15:58:11,VN0000127_might_cause_intron_r
note-taking,7/9/2024 15:58:19,VN0000128_probably_too_common
note-taking,7/9/2024 15:58:23,VN0000129_probably_too_common
move on from variant,7/9/2024 15:58:49,
new variant review,7/9/2024 15:59:27,
click-out from seqr,7/9/2024 15:59:45,
click-back into seqr,7/9/2024 15:59:55,
move on from variant,7/9/2024 15:59:57,
new variant review,7/9/2024 16:00:07,
table interaction,7/9/2024 16:00:07,
publication reading,7/9/2024 16:00:25,PMID:38464108
move on from variant,7/9/2024 16:00:41,
new variant review,7/9/2024 16:00:51,
click-out from seqr,7/9/2024 16:00:51,
click-back into seqr,7/9/2024 16:01:11,
click-out from seqr,7/9/2024 16:01:31,
click-back into seqr,7/9/2024 16:01:35,
move on from variant,7/9/2024 16:01:37,
new variant review,7/9/2024 16:02:11,
table interaction,7/9/2024 16:02:11,
publication reading,7/9/2024 16:02:25,PMID:38891944
move on from variant,7/9/2024 16:02:51,
new variant review,7/9/2024 16:03:15,
click-out from seqr,7/9/2024 16:03:19,
click-back into seqr,7/9/2024 16:03:29,
note-taking,7/9/2024 16:03:37,VN0000130_highly_expressed_in
move on from variant,7/9/2024 16:03:59,
new variant review,7/9/2024 16:04:03,
click-out from seqr,7/9/2024 16:04:05,
click-back into seqr,7/9/2024 16:04:19,
move on from variant,7/9/2024 16:04:25,
new variant review,7/9/2024 16:04:47,
click-out from seqr,7/9/2024 16:04:53,
click-back into seqr,7/9/2024 16:05:11,
click-out from seqr,7/9/2024 16:05:21,
click-back into seqr,7/9/2024 16:05:37,
click-out from seqr,7/9/2024 16:05:43,
click-back into seqr,7/9/2024 16:05:49,
move on from variant,7/9/2024 16:05:55,
new variant review,7/9/2024 16:06:19,
table interaction,7/9/2024 16:06:21,
move on from variant,7/9/2024 16:06:31,
new variant review,7/9/2024 16:06:37,
table interaction,7/9/2024 16:06:45,
click-out from seqr,7/9/2024 16:08:31,
click-back into seqr,7/9/2024 16:09:19,
note-taking,7/9/2024 16:09:23,VN0000131_porbably_creates_a_p
click-out from seqr,7/9/2024 16:09:53,
click-back into seqr,7/9/2024 16:09:55,
click-out from seqr,7/9/2024 16:09:59,
click-back into seqr,7/9/2024 16:10:17,
click-out from seqr,7/9/2024 16:10:27,
click-back into seqr,7/9/2024 16:11:07,
note-taking,7/9/2024 16:11:55,VN0000132_interesting_looking
move on from variant,7/9/2024 16:12:09,
new variant review,7/9/2024 16:12:27,
table interaction,7/9/2024 16:12:29,
move on from variant,7/9/2024 16:12:57,
new variant review,7/9/2024 16:13:41,
table interaction,7/9/2024 16:13:41,
publication reading,7/9/2024 16:14:25,PMID:31700678
