action,timestamp,notes
start case,7/12/2024 10:26:47,
standard search,7/12/2024 10:27:30,
new variant review,7/12/2024 10:28:52,
table interaction,7/12/2024 10:28:53,
note-taking,7/12/2024 10:29:03,VN0000212_rare_low_scores_se
move on from variant,7/12/2024 10:29:25,
new variant review,7/12/2024 10:29:33,
note-taking,7/12/2024 10:29:33,VN0000213_rare_low_scores_lo
note-taking,7/12/2024 10:30:07,VN0000214_proband_does_not_hav
note-taking,7/12/2024 10:30:21,VN0000215_quality_score_flag
table interaction,7/12/2024 10:30:27,
move on from variant,7/12/2024 10:30:39,
new variant review,7/12/2024 10:30:49,
table interaction,7/12/2024 10:30:49,
publication reading,7/12/2024 10:31:05,PMID:35350973
note-taking,7/12/2024 10:31:37,VN0000216_rare_not_documented
publication reading,7/12/2024 10:31:59,PMID:35350973
note-taking,7/12/2024 10:32:22,PN0000013_ensg00000132821proba
note-taking,7/12/2024 10:32:57,VN0000217_follow_up_to_see_if
click-out from seqr,7/12/2024 10:33:20,
click-back into seqr,7/12/2024 10:33:25,
note-taking,7/12/2024 10:33:29,VN0000218_gene_is_expressed_pr
move on from variant,7/12/2024 10:33:49,
new variant review,7/12/2024 10:34:03,
click-out from seqr,7/12/2024 10:34:04,
click-back into seqr,7/12/2024 10:34:19,
note-taking,7/12/2024 10:34:23,VN0000219_no_mention_of_catara
note-taking,7/12/2024 10:35:07,VN0000220_rare_constraned_lo
move on from variant,7/12/2024 10:35:41,
new variant review,7/12/2024 10:36:02,
click-out from seqr,7/12/2024 10:36:03,
click-back into seqr,7/12/2024 10:36:19,
note-taking,7/12/2024 10:36:23,VN0000221_rare_low_q_low_sco
note-taking,7/12/2024 10:37:05,VN0000222_sms_had_overlap_in_n
move on from variant,7/12/2024 10:37:31,
new variant review,7/12/2024 10:38:03,
move on from variant,7/12/2024 10:38:17,
new variant review,7/12/2024 10:38:55,
note-taking,7/12/2024 10:38:57,VN0000223_too_common
move on from variant,7/12/2024 10:39:01,
new variant review,7/12/2024 10:39:25,
note-taking,7/12/2024 10:39:27,VN0000224_a_more_common_varian
click-out from seqr,7/12/2024 10:39:50,
click-back into seqr,7/12/2024 10:40:05,
click-out from seqr,7/12/2024 10:40:07,
click-back into seqr,7/12/2024 10:40:15,
note-taking,7/12/2024 10:40:19,VN0000225_both_conditions_have
move on from variant,7/12/2024 10:41:05,
standard search,7/12/2024 10:41:25,
new variant review,7/12/2024 10:42:06,
note-taking,7/12/2024 10:42:07,VN0000226_more_common_higher
note-taking,7/12/2024 10:42:39,VN0000227_no_clear_gdr
move on from variant,7/12/2024 10:42:47,
new variant review,7/12/2024 10:42:59,
note-taking,7/12/2024 10:43:01,VN0000228_not_so_common_highe
note-taking,7/12/2024 10:43:41,VN0000229_no_clear_gdr_golgi
move on from variant,7/12/2024 10:44:05,
new variant review,7/12/2024 10:44:27,
note-taking,7/12/2024 10:44:29,VN0000230_no_clear_indication
move on from variant,7/12/2024 10:44:53,
new variant review,7/12/2024 10:45:19,
table interaction,7/12/2024 10:45:19,
note-taking,7/12/2024 10:45:35,VN0000231_pub_within_ai_tool_e
publication reading,7/12/2024 10:45:55,PMID:38464108
note-taking,7/12/2024 10:46:27,VN0000231_pub_within_ai_tool_e
move on from variant,7/12/2024 10:46:55,
new variant review,7/12/2024 10:47:07,
note-taking,7/12/2024 10:47:09,VN0000232_variant_is_common_in
click-out from seqr,7/12/2024 10:47:53,
click-back into seqr,7/12/2024 10:48:13,
note-taking,7/12/2024 10:48:17,VN0000233_id52_has_a_moi_of_ad
move on from variant,7/12/2024 10:48:49,
new variant review,7/12/2024 10:48:59,
table interaction,7/12/2024 10:48:59,
table interaction,7/12/2024 10:50:05,
click-out from seqr,7/12/2024 10:50:37,
click-back into seqr,7/12/2024 10:50:53,
note-taking,7/12/2024 10:50:55,VN0000234_rare_in_callset_mor
publication reading,7/12/2024 10:52:21,PMID:37454282
click-out from seqr,7/12/2024 10:53:10,
click-back into seqr,7/12/2024 10:53:33,
click-out from seqr,7/12/2024 10:53:58,
click-back into seqr,7/12/2024 10:54:41,
click-out from seqr,7/12/2024 10:54:45,
click-back into seqr,7/12/2024 10:54:56,
note-taking,7/12/2024 10:55:01,VN0000235_tars2_models_do_have
click-out from seqr,7/12/2024 10:55:52,
click-back into seqr,7/12/2024 10:56:03,
note-taking,7/12/2024 10:56:09,VN0000236_lim_evidence_for_cop
note-taking,7/12/2024 10:57:09,VN0000237_vus_variant_one_con
click-out from seqr,7/12/2024 10:57:27,
click-back into seqr,7/12/2024 10:57:47,
note-taking,7/12/2024 10:57:49,VN0000237_vus_variant_one_con
move on from variant,7/12/2024 10:58:21,
new variant review,7/12/2024 10:58:27,
note-taking,7/12/2024 10:58:27,VN0000238_not_relevant_for_cur
move on from variant,7/12/2024 10:58:35,
new variant review,7/12/2024 10:58:41,
click-out from seqr,7/12/2024 10:58:42,
click-back into seqr,7/12/2024 10:58:57,
move on from variant,7/12/2024 10:58:59,
new variant review,7/12/2024 11:00:45,
table interaction,7/12/2024 11:00:47,
move on from variant,7/12/2024 11:00:59,
new variant review,7/12/2024 11:01:11,
click-out from seqr,7/12/2024 11:01:11,
click-back into seqr,7/12/2024 11:01:37,
table interaction,7/12/2024 11:01:49,
note-taking,7/12/2024 11:02:41,VN0000239_rare_in_callset_mor
move on from variant,7/12/2024 11:03:43,
new variant review,7/12/2024 11:03:53,
click-out from seqr,7/12/2024 11:04:03,
click-back into seqr,7/12/2024 11:04:21,
note-taking,7/12/2024 11:04:25,VN0000240_higher_in_silico_sco
move on from variant,7/12/2024 11:04:55,
new variant review,7/12/2024 11:06:19,
click-out from seqr,7/12/2024 11:06:21,
click-back into seqr,7/12/2024 11:06:33,
click-out from seqr,7/12/2024 11:06:35,
click-back into seqr,7/12/2024 11:06:42,
click-out from seqr,7/12/2024 11:06:43,
click-back into seqr,7/12/2024 11:06:53,
note-taking,7/12/2024 11:07:02,VN0000241_rare_in_call_set_mo
move on from variant,7/12/2024 11:07:31,
new variant review,7/12/2024 11:07:55,
click-out from seqr,7/12/2024 11:07:56,
click-back into seqr,7/12/2024 11:08:23,
move on from variant,7/12/2024 11:09:07,
custom search,7/12/2024 11:10:02,VS0000139_
custom search,7/12/2024 11:10:30,VS0000140_
review saved variant,7/12/2024 11:10:50,
note-taking,7/12/2024 11:10:50,VN0000242_only_result_from_a_g
move on from variant,7/12/2024 11:10:59,
custom search,7/12/2024 11:11:07,VS0000141_
custom search,7/12/2024 11:11:21,VS0000142_
new variant review,7/12/2024 11:12:08,
note-taking,7/12/2024 11:12:08,VN0000243_rare_in_callset_2st
move on from variant,7/12/2024 11:12:39,
new variant review,7/12/2024 11:12:45,
note-taking,7/12/2024 11:12:45,VN0000244_not_common_in_callse
move on from variant,7/12/2024 11:13:01,
new variant review,7/12/2024 11:13:05,
note-taking,7/12/2024 11:13:05,VN0000245_common_high_scores
click-out from seqr,7/12/2024 11:13:25,
click-back into seqr,7/12/2024 11:13:43,
click-out from seqr,7/12/2024 11:14:09,
click-back into seqr,7/12/2024 11:14:53,
note-taking,7/12/2024 11:15:01,VN0000246_maybe_too_far_into_t
click-out from seqr,7/12/2024 11:15:29,
click-back into seqr,7/12/2024 11:15:39,
click-out from seqr,7/12/2024 11:15:39,
click-back into seqr,7/12/2024 11:15:51,
click-out from seqr,7/12/2024 11:15:53,
click-back into seqr,7/12/2024 11:15:59,
click-out from seqr,7/12/2024 11:15:59,
click-back into seqr,7/12/2024 11:16:09,
click-out from seqr,7/12/2024 11:16:11,
click-back into seqr,7/12/2024 11:16:15,
click-out from seqr,7/12/2024 11:16:17,
click-back into seqr,7/12/2024 11:16:23,
note-taking,7/12/2024 11:16:23,VN0000247_coach_syndrome_has_t
move on from variant,7/12/2024 11:16:39,
new variant review,7/12/2024 11:17:09,
click-out from seqr,7/12/2024 11:17:10,
click-back into seqr,7/12/2024 11:17:29,
note-taking,7/12/2024 11:17:35,VN0000248_common_within_call_s
move on from variant,7/12/2024 11:18:15,
new variant review,7/12/2024 11:19:07,
click-out from seqr,7/12/2024 11:19:09,
click-back into seqr,7/12/2024 11:19:23,
note-taking,7/12/2024 11:20:07,VN0000249_lof_and_hi_flags_mo
note-taking,7/12/2024 11:21:00,VN0000250_5_other_variants_al
note-taking,7/12/2024 11:21:11,VN0000251_scores_are_low_pote
click-out from seqr,7/12/2024 11:21:27,
click-back into seqr,7/12/2024 11:22:03,
note-taking,7/12/2024 11:22:07,VN0000251_scores_are_low_pote
move on from variant,7/12/2024 11:22:43,
review saved variant,7/12/2024 11:25:27,
note-taking,7/12/2024 11:25:33,VN0000252_there_are_3_other_in
move on from variant,7/12/2024 11:25:57,
