action,timestamp,notes
start case,7/18/2024 10:26:38,
standard search,7/18/2024 10:26:52,
new variant review,7/18/2024 10:28:00,
note-taking,7/18/2024 10:28:02,VN0000336_check_reads
move on from variant,7/18/2024 10:28:07,
new variant review,7/18/2024 10:28:32,
move on from variant,7/18/2024 10:28:45,
new variant review,7/18/2024 10:29:10,
table interaction,7/18/2024 10:29:12,
move on from variant,7/18/2024 10:29:14,
new variant review,7/18/2024 10:29:51,
table interaction,7/18/2024 10:29:54,
publication reading,7/18/2024 10:30:11,PMID:31367973
publication search,7/18/2024 10:30:34,
publication reading,7/18/2024 10:31:01,PMID:28870203
move on from variant,7/18/2024 10:31:03,
new variant review,7/18/2024 10:31:15,
table interaction,7/18/2024 10:31:17,
publication search,7/18/2024 10:31:33,
publication reading,7/18/2024 10:32:17,PMID:37400623
note-taking,7/18/2024 10:32:27,VN0000337_cysteine_rich_intest
publication reading,7/18/2024 10:32:42,PMID:37067458
click-out from seqr,7/18/2024 10:32:56,
click-back into seqr,7/18/2024 10:32:59,
move on from variant,7/18/2024 10:33:05,
standard search,7/18/2024 10:33:08,
new variant review,7/18/2024 10:34:24,
move on from variant,7/18/2024 10:34:27,
new variant review,7/18/2024 10:34:35,
click-out from seqr,7/18/2024 10:34:36,
click-back into seqr,7/18/2024 10:34:45,
move on from variant,7/18/2024 10:34:46,
new variant review,7/18/2024 10:35:39,
click-out from seqr,7/18/2024 10:35:39,
click-back into seqr,7/18/2024 10:35:43,
click-out from seqr,7/18/2024 10:35:49,
click-back into seqr,7/18/2024 10:35:51,
move on from variant,7/18/2024 10:36:06,
new variant review,7/18/2024 10:36:14,
table interaction,7/18/2024 10:36:14,
move on from variant,7/18/2024 10:36:18,
new variant review,7/18/2024 10:36:26,
table interaction,7/18/2024 10:36:28,
publication reading,7/18/2024 10:36:56,PMID:37965175
move on from variant,7/18/2024 10:37:00,
new variant review,7/18/2024 10:38:49,
table interaction,7/18/2024 10:38:50,
publication reading,7/18/2024 10:39:01,PMID:28600779
move on from variant,7/18/2024 10:39:24,
new variant review,7/18/2024 10:39:51,
table interaction,7/18/2024 10:39:58,
move on from variant,7/18/2024 10:40:02,
standard search,7/18/2024 10:40:05,
new variant review,7/18/2024 10:40:44,
click-out from seqr,7/18/2024 10:40:47,
click-back into seqr,7/18/2024 10:40:54,
publication search,7/18/2024 10:41:18,
click-out from seqr,7/18/2024 10:41:32,
click-back into seqr,7/18/2024 10:41:36,
click-out from seqr,7/18/2024 10:41:52,
click-back into seqr,7/18/2024 10:42:00,
note-taking,7/18/2024 10:42:02,VN0000338_mgi_mice_homozygou
move on from variant,7/18/2024 10:42:11,
standard search,7/18/2024 10:42:22,
review saved variant,7/18/2024 10:43:04,
click-out from seqr,7/18/2024 10:43:04,
click-back into seqr,7/18/2024 10:43:15,
move on from variant,7/18/2024 10:43:16,
review saved variant,7/18/2024 10:43:24,
table interaction,7/18/2024 10:43:26,
note-taking,7/18/2024 10:43:42,VN0000339_part_of_the_postsyna
click-out from seqr,7/18/2024 10:43:44,
click-back into seqr,7/18/2024 10:43:46,
note-taking,7/18/2024 10:43:50,VN0000340_mgi_mice_homozygou
move on from variant,7/18/2024 10:44:04,
review saved variant,7/18/2024 10:44:31,
click-out from seqr,7/18/2024 10:44:32,
click-back into seqr,7/18/2024 10:44:42,
move on from variant,7/18/2024 10:44:48,
review saved variant,7/18/2024 10:45:02,
note-taking,7/18/2024 10:45:03,VN0000341_check_utrannotator_p
move on from variant,7/18/2024 10:45:26,
start case,7/18/2024 10:46:44,
standard search,7/18/2024 10:47:28,
new variant review,7/18/2024 10:49:02,
note-taking,7/18/2024 10:49:02,VN0000342_damaging_looking_var
move on from variant,7/18/2024 10:49:12,
new variant review,7/18/2024 10:49:49,
table interaction,7/18/2024 10:49:50,
move on from variant,7/18/2024 10:49:52,
new variant review,7/18/2024 10:49:56,
move on from variant,7/18/2024 10:50:08,
new variant review,7/18/2024 10:50:33,
table interaction,7/18/2024 10:50:38,
move on from variant,7/18/2024 10:51:05,
custom search,7/18/2024 10:51:47,VS0000240_
custom search,7/18/2024 10:52:37,VS0000241_
new variant review,7/18/2024 10:54:37,
table interaction,7/18/2024 10:54:38,
move on from variant,7/18/2024 10:54:38,
new variant review,7/18/2024 10:55:30,
table interaction,7/18/2024 10:55:30,
move on from variant,7/18/2024 10:55:34,
new variant review,7/18/2024 10:56:19,
table interaction,7/18/2024 10:56:19,
move on from variant,7/18/2024 10:56:23,
standard search,7/18/2024 10:56:27,
standard search,7/18/2024 10:56:59,
new variant review,7/18/2024 10:57:45,
note-taking,7/18/2024 10:57:46,VN0000343_hom6
move on from variant,7/18/2024 10:57:49,
new variant review,7/18/2024 10:58:06,
table interaction,7/18/2024 10:58:06,
move on from variant,7/18/2024 10:58:08,
new variant review,7/18/2024 10:58:23,
table interaction,7/18/2024 10:58:24,
move on from variant,7/18/2024 10:58:26,
review saved variant,7/18/2024 10:59:06,
table interaction,7/18/2024 10:59:07,
move on from variant,7/18/2024 10:59:23,
start case,7/18/2024 10:59:52,
custom search,7/18/2024 11:00:19,VS0000242_
new variant review,7/18/2024 11:01:30,
move on from variant,7/18/2024 11:01:35,
new variant review,7/18/2024 11:01:46,
table interaction,7/18/2024 11:01:46,
move on from variant,7/18/2024 11:01:48,
new variant review,7/18/2024 11:02:00,
move on from variant,7/18/2024 11:02:04,
new variant review,7/18/2024 11:02:14,
note-taking,7/18/2024 11:02:15,VN0000344_check_reads
move on from variant,7/18/2024 11:02:19,
new variant review,7/18/2024 11:02:23,
move on from variant,7/18/2024 11:02:24,
custom search,7/18/2024 11:02:42,VS0000243_
new variant review,7/18/2024 11:03:42,
move on from variant,7/18/2024 11:03:43,
new variant review,7/18/2024 11:03:56,
table interaction,7/18/2024 11:03:56,
move on from variant,7/18/2024 11:04:00,
new variant review,7/18/2024 11:04:26,
