action,timestamp,notes
start case,7/8/2024 11:20:33,
custom search,7/8/2024 11:21:17,VS0000102_
new variant review,7/8/2024 11:21:51,
move on from variant,7/8/2024 11:21:55,
new variant review,7/8/2024 11:22:57,
click-out from seqr,7/8/2024 11:22:59,
click-back into seqr,7/8/2024 11:23:23,
move on from variant,7/8/2024 11:23:25,
new variant review,7/8/2024 11:23:39,
move on from variant,7/8/2024 11:23:39,
new variant review,7/8/2024 11:24:05,
move on from variant,7/8/2024 11:24:07,
new variant review,7/8/2024 11:24:27,
click-out from seqr,7/8/2024 11:24:27,
click-back into seqr,7/8/2024 11:24:35,
move on from variant,7/8/2024 11:24:37,
custom search,7/8/2024 11:25:49,VS0000107_
review saved variant,7/8/2024 11:26:01,
click-out from seqr,7/8/2024 11:26:09,
click-back into seqr,7/8/2024 11:26:13,
click-out from seqr,7/8/2024 11:26:17,
click-back into seqr,7/8/2024 11:26:45,
move on from variant,7/8/2024 11:26:51,
new variant review,7/8/2024 11:26:59,
click-out from seqr,7/8/2024 11:27:01,
click-back into seqr,7/8/2024 11:27:15,
note-taking,7/8/2024 11:27:21,VN0000062_pval170ile_20_all
move on from variant,7/8/2024 11:27:35,
review saved variant,7/8/2024 11:27:43,
click-out from seqr,7/8/2024 11:27:47,
click-back into seqr,7/8/2024 11:27:59,
note-taking,7/8/2024 11:28:01,VN0000063_not_mane_transcript
note-taking,7/8/2024 11:28:09,VN0000064_ppro1309ser_had_3_a
click-out from seqr,7/8/2024 11:28:19,
click-back into seqr,7/8/2024 11:28:23,
note-taking,7/8/2024 11:28:25,VN0000065_ppro1309leu_has_2_a
move on from variant,7/8/2024 11:28:35,
custom search,7/8/2024 11:28:46,VS0000108_
new variant review,7/8/2024 11:28:59,
publication search,7/8/2024 11:29:05,
publication search,7/8/2024 11:29:23,
publication search,7/8/2024 11:29:27,
note-taking,7/8/2024 11:29:39,VN0000066_phenotypes_and_geno
publication reading,7/8/2024 11:30:11,PMID:34402213
move on from variant,7/8/2024 11:30:51,
standard search,7/8/2024 11:31:03,
custom search,7/8/2024 11:31:17,VS0000109_
custom search,7/8/2024 11:33:02,VS0000110_
review saved variant,7/8/2024 11:33:37,
click-out from seqr,7/8/2024 11:33:43,
click-back into seqr,7/8/2024 11:34:29,
note-taking,7/8/2024 11:34:31,VN0000067_not_well_conserved
move on from variant,7/8/2024 11:34:47,
review saved variant,7/8/2024 11:34:49,
click-out from seqr,7/8/2024 11:34:55,
click-back into seqr,7/8/2024 11:35:01,
note-taking,7/8/2024 11:35:03,VN0000068_pli_086
click-out from seqr,7/8/2024 11:35:07,
click-back into seqr,7/8/2024 11:35:13,
note-taking,7/8/2024 11:35:15,VN0000069_acceptor_gain_032_a
note-taking,7/8/2024 11:35:31,VN0000070_poor_quality_did_no
note-taking,7/8/2024 11:35:55,VN0000071_relevant_condition_i
move on from variant,7/8/2024 11:36:09,
review saved variant,7/8/2024 11:36:13,
note-taking,7/8/2024 11:36:17,VN0000072_poor_quality_severa
note-taking,7/8/2024 11:36:39,VN0000073_damaging_predictors
click-out from seqr,7/8/2024 11:36:51,
click-back into seqr,7/8/2024 11:37:11,
click-out from seqr,7/8/2024 11:37:17,
click-back into seqr,7/8/2024 11:37:53,
note-taking,7/8/2024 11:37:55,VN0000074_pthr690ilehttps
move on from variant,7/8/2024 11:38:13,
review saved variant,7/8/2024 11:38:17,
note-taking,7/8/2024 11:38:39,VN0000075_low_quality_needs_a
note-taking,7/8/2024 11:38:59,VN0000076_all_second_hits_intr
move on from variant,7/8/2024 11:39:07,
review saved variant,7/8/2024 11:39:27,
click-out from seqr,7/8/2024 11:39:37,
click-back into seqr,7/8/2024 11:39:41,
note-taking,7/8/2024 11:39:43,VN0000077_massive_gene_at_lea
click-out from seqr,7/8/2024 11:39:55,
click-back into seqr,7/8/2024 11:40:25,
note-taking,7/8/2024 11:40:35,VN0000077_massive_gene_at_lea
click-out from seqr,7/8/2024 11:41:01,
click-back into seqr,7/8/2024 11:41:31,
note-taking,7/8/2024 11:41:33,VN0000078_ambry_vus_the_c40
move on from variant,7/8/2024 11:41:59,
review saved variant,7/8/2024 11:42:03,
click-out from seqr,7/8/2024 11:42:08,
click-back into seqr,7/8/2024 11:42:55,
note-taking,7/8/2024 11:43:17,VN0000079_mostly_conserved_va
move on from variant,7/8/2024 11:43:10,
new variant review,7/8/2024 11:43:35,
move on from variant,7/8/2024 11:43:37,
new variant review,7/8/2024 11:43:55,
click-out from seqr,7/8/2024 11:44:05,
click-back into seqr,7/8/2024 11:44:17,
move on from variant,7/8/2024 11:44:19,
new variant review,7/8/2024 11:45:05,
click-out from seqr,7/8/2024 11:45:07,
click-back into seqr,7/8/2024 11:45:19,
move on from variant,7/8/2024 11:45:25,
