action,timestamp,notes
start case,7/10/2024 15:18:13,
standard search,7/10/2024 15:18:21,
standard search,7/10/2024 15:19:49,
new variant review,7/10/2024 15:20:53,
click-out from seqr,7/10/2024 15:20:55,
click-back into seqr,7/10/2024 15:21:07,
move on from variant,7/10/2024 15:21:11,
standard search,7/10/2024 15:21:16,
new variant review,7/10/2024 15:24:23,
click-out from seqr,7/10/2024 15:24:23,
click-back into seqr,7/10/2024 15:24:33,
click-out from seqr,7/10/2024 15:24:39,
click-back into seqr,7/10/2024 15:24:49,
note-taking,7/10/2024 15:25:17,VN0000177_single_p_in_recessiv
move on from variant,7/10/2024 15:25:31,
new variant review,7/10/2024 15:26:13,
click-out from seqr,7/10/2024 15:26:13,
click-back into seqr,7/10/2024 15:26:23,
move on from variant,7/10/2024 15:26:27,
standard search,7/10/2024 15:26:45,
new variant review,7/10/2024 15:27:16,
click-out from seqr,7/10/2024 15:27:17,
click-back into seqr,7/10/2024 15:27:29,
move on from variant,7/10/2024 15:27:31,
new variant review,7/10/2024 15:27:36,
click-out from seqr,7/10/2024 15:28:29,
click-back into seqr,7/10/2024 15:28:39,
move on from variant,7/10/2024 15:28:45,
new variant review,7/10/2024 15:29:00,
click-out from seqr,7/10/2024 15:29:17,
click-back into seqr,7/10/2024 15:29:23,
note-taking,7/10/2024 15:29:31,VN0000178_predicted_damaging_v
move on from variant,7/10/2024 15:29:57,
new variant review,7/10/2024 15:30:35,
click-out from seqr,7/10/2024 15:30:35,
click-back into seqr,7/10/2024 15:30:41,
move on from variant,7/10/2024 15:30:43,
new variant review,7/10/2024 15:31:17,
move on from variant,7/10/2024 15:31:19,
new variant review,7/10/2024 15:31:35,
move on from variant,7/10/2024 15:31:39,
new variant review,7/10/2024 15:32:41,
click-out from seqr,7/10/2024 15:32:43,
click-back into seqr,7/10/2024 15:32:51,
move on from variant,7/10/2024 15:32:53,
new variant review,7/10/2024 15:33:07,
click-out from seqr,7/10/2024 15:33:09,
click-back into seqr,7/10/2024 15:33:17,
move on from variant,7/10/2024 15:33:17,
new variant review,7/10/2024 15:33:49,
click-out from seqr,7/10/2024 15:33:50,
click-back into seqr,7/10/2024 15:34:01,
move on from variant,7/10/2024 15:34:07,
new variant review,7/10/2024 15:35:01,
move on from variant,7/10/2024 15:35:27,
new variant review,7/10/2024 15:37:01,
click-out from seqr,7/10/2024 15:37:02,
click-back into seqr,7/10/2024 15:37:18,
click-out from seqr,7/10/2024 15:37:49,
click-back into seqr,7/10/2024 15:37:59,
move on from variant,7/10/2024 15:38:07,
new variant review,7/10/2024 15:40:00,
move on from variant,7/10/2024 15:40:23,
review saved variant,7/10/2024 15:43:29,
note-taking,7/10/2024 15:43:31,VN0000179_likely_artefact
move on from variant,7/10/2024 15:43:43,
review saved variant,7/10/2024 15:43:57,
click-out from seqr,7/10/2024 15:44:21,
click-back into seqr,7/10/2024 15:44:51,
click-out from seqr,7/10/2024 15:44:55,
click-back into seqr,7/10/2024 15:45:11,
publication search,7/10/2024 15:45:25,
publication search,7/10/2024 15:45:45,
publication reading,7/10/2024 15:46:23,PMID:31700678
click-out from seqr,7/10/2024 15:47:57,
click-back into seqr,7/10/2024 15:48:30,
note-taking,7/10/2024 15:48:35,VN0000180_linked_to_cp_in_lite
move on from variant,7/10/2024 15:49:19,
review saved variant,7/10/2024 15:49:43,
click-out from seqr,7/10/2024 15:49:45,
click-back into seqr,7/10/2024 15:49:51,
click-out from seqr,7/10/2024 15:49:55,
click-back into seqr,7/10/2024 15:50:13,
move on from variant,7/10/2024 15:50:21,
review saved variant,7/10/2024 15:51:09,
click-out from seqr,7/10/2024 15:51:11,
click-back into seqr,7/10/2024 15:51:31,
move on from variant,7/10/2024 15:51:37,
review saved variant,7/10/2024 15:51:41,
click-out from seqr,7/10/2024 15:51:42,
click-back into seqr,7/10/2024 15:52:03,
move on from variant,7/10/2024 15:52:07,
review saved variant,7/10/2024 15:52:17,
publication search,7/10/2024 15:52:23,
publication search,7/10/2024 15:52:47,
click-out from seqr,7/10/2024 15:52:53,
click-back into seqr,7/10/2024 15:53:01,
move on from variant,7/10/2024 15:53:05,
start case,7/10/2024 15:53:44,
standard search,7/10/2024 15:54:16,
new variant review,7/10/2024 15:54:51,
click-out from seqr,7/10/2024 15:55:13,
click-back into seqr,7/10/2024 15:55:21,
move on from variant,7/10/2024 15:55:23,
standard search,7/10/2024 15:55:29,
new variant review,7/10/2024 15:55:59,
move on from variant,7/10/2024 15:56:03,
new variant review,7/10/2024 15:56:41,
click-out from seqr,7/10/2024 15:56:43,
click-back into seqr,7/10/2024 15:56:49,
click-out from seqr,7/10/2024 15:57:01,
click-back into seqr,7/10/2024 15:57:15,
move on from variant,7/10/2024 15:57:21,
standard search,7/10/2024 15:57:45,
new variant review,7/10/2024 15:58:13,
click-out from seqr,7/10/2024 15:58:15,
click-back into seqr,7/10/2024 15:58:23,
move on from variant,7/10/2024 15:58:29,
new variant review,7/10/2024 15:59:09,
move on from variant,7/10/2024 15:59:13,
standard search,7/10/2024 16:01:15,
new variant review,7/10/2024 16:01:51,
move on from variant,7/10/2024 16:02:17,
new variant review,7/10/2024 16:03:08,
click-out from seqr,7/10/2024 16:03:33,
click-back into seqr,7/10/2024 16:03:52,
move on from variant,7/10/2024 16:04:07,
