action,timestamp,notes
start case,7/8/2024 15:14:55,
standard search,7/8/2024 15:17:50,
new variant review,7/8/2024 15:18:01,
click-out from seqr,7/8/2024 15:18:15,
click-back into seqr,7/8/2024 15:18:31,
note-taking,7/8/2024 15:18:57,VN0000100_not_related_to_muscl
move on from variant,7/8/2024 15:19:15,
standard search,7/8/2024 15:19:17,
new variant review,7/8/2024 15:19:25,
click-out from seqr,7/8/2024 15:19:27,
click-back into seqr,7/8/2024 15:19:51,
move on from variant,7/8/2024 15:20:03,
new variant review,7/8/2024 15:20:18,
click-out from seqr,7/8/2024 15:20:25,
click-back into seqr,7/8/2024 15:20:37,
move on from variant,7/8/2024 15:20:39,
standard search,7/8/2024 15:22:23,
new variant review,7/8/2024 15:22:49,
click-out from seqr,7/8/2024 15:22:49,
click-back into seqr,7/8/2024 15:23:05,
note-taking,7/8/2024 15:23:11,VN0000101_not_relevant_to_phen
move on from variant,7/8/2024 15:23:21,
new variant review,7/8/2024 15:23:37,
note-taking,7/8/2024 15:23:37,VN0000102_not_relevant
move on from variant,7/8/2024 15:23:39,
standard search,7/8/2024 15:23:43,
custom search,7/8/2024 15:24:27,VS0000113_
new variant review,7/8/2024 15:25:05,
click-out from seqr,7/8/2024 15:25:09,
click-back into seqr,7/8/2024 15:25:31,
publication search,7/8/2024 15:25:53,
publication search,7/8/2024 15:26:27,
publication reading,7/8/2024 15:27:07,PMID:35274472
move on from variant,7/8/2024 15:27:53,
new variant review,7/8/2024 15:28:07,
click-out from seqr,7/8/2024 15:28:19,
click-back into seqr,7/8/2024 15:29:41,
click-out from seqr,7/8/2024 15:30:05,
click-back into seqr,7/8/2024 15:30:27,
click-out from seqr,7/8/2024 15:30:33,
click-back into seqr,7/8/2024 15:31:39,
note-taking,7/8/2024 15:31:41,VN0000103_not_expressed_in_mus
move on from variant,7/8/2024 15:31:49,
new variant review,7/8/2024 15:31:59,
click-out from seqr,7/8/2024 15:32:07,
click-back into seqr,7/8/2024 15:32:31,
move on from variant,7/8/2024 15:32:43,
new variant review,7/8/2024 15:32:52,
click-out from seqr,7/8/2024 15:33:07,
click-back into seqr,7/8/2024 15:33:21,
note-taking,7/8/2024 15:33:23,VN0000104_not_a_good_fit_too
move on from variant,7/8/2024 15:33:33,
new variant review,7/8/2024 15:33:47,
click-out from seqr,7/8/2024 15:33:51,
click-back into seqr,7/8/2024 15:34:07,
move on from variant,7/8/2024 15:34:29,
new variant review,7/8/2024 15:34:41,
click-out from seqr,7/8/2024 15:36:01,
click-back into seqr,7/8/2024 15:36:17,
click-out from seqr,7/8/2024 15:36:23,
click-back into seqr,7/8/2024 15:36:27,
note-taking,7/8/2024 15:36:29,VN0000105_spliceai_001
publication search,7/8/2024 15:36:39,
click-out from seqr,7/8/2024 15:37:03,
click-back into seqr,7/8/2024 15:37:55,
note-taking,7/8/2024 15:37:57,VN0000106_not_in_canoncial_exo
move on from variant,7/8/2024 15:38:07,
new variant review,7/8/2024 15:38:19,
click-out from seqr,7/8/2024 15:38:27,
click-back into seqr,7/8/2024 15:38:57,
note-taking,7/8/2024 15:39:01,VN0000107_mostly_expressed_in
move on from variant,7/8/2024 15:39:11,
new variant review,7/8/2024 15:39:15,
click-out from seqr,7/8/2024 15:39:17,
click-back into seqr,7/8/2024 15:39:31,
move on from variant,7/8/2024 15:39:37,
new variant review,7/8/2024 15:39:53,
click-out from seqr,7/8/2024 15:39:55,
click-back into seqr,7/8/2024 15:40:21,
click-out from seqr,7/8/2024 15:40:43,
click-back into seqr,7/8/2024 15:40:49,
move on from variant,7/8/2024 15:40:57,
new variant review,7/8/2024 15:41:11,
click-out from seqr,7/8/2024 15:41:27,
click-back into seqr,7/8/2024 15:42:13,
note-taking,7/8/2024 15:42:19,VN0000108_not_expressed_in_mus
move on from variant,7/8/2024 15:42:29,
review saved variant,7/8/2024 15:42:35,
note-taking,7/8/2024 15:42:37,VN0000109_in_frame_exon_skippi
move on from variant,7/8/2024 15:42:39,
new variant review,7/8/2024 15:42:53,
click-out from seqr,7/8/2024 15:43:05,
click-back into seqr,7/8/2024 15:43:15,
note-taking,7/8/2024 15:43:21,VN0000110_mostly_expressed_in
publication search,7/8/2024 15:43:41,
publication reading,7/8/2024 15:44:51,PMID:20833135
note-taking,7/8/2024 15:45:59,VN0000111_a_laser_wounding_ass
click-out from seqr,7/8/2024 15:46:43,
click-back into seqr,7/8/2024 15:48:09,
click-out from seqr,7/8/2024 15:48:23,
click-back into seqr,7/8/2024 15:48:29,
note-taking,7/8/2024 15:48:37,VN0000112_spliceai_00
click-out from seqr,7/8/2024 15:48:47,
click-back into seqr,7/8/2024 15:48:53,
move on from variant,7/8/2024 15:49:09,
new variant review,7/8/2024 15:49:19,
click-out from seqr,7/8/2024 15:49:37,
click-back into seqr,7/8/2024 15:49:53,
note-taking,7/8/2024 15:50:05,VN0000113_highly_expressed_in
publication search,7/8/2024 15:50:35,
publication search,7/8/2024 15:50:45,
publication reading,7/8/2024 15:50:53,PMID:37762638
note-taking,7/8/2024 15:51:39,VN0000114_thus_our_findings_d
click-out from seqr,7/8/2024 15:52:19,
click-back into seqr,7/8/2024 15:52:33,
move on from variant,7/8/2024 15:52:35,
new variant review,7/8/2024 15:53:17,
click-out from seqr,7/8/2024 15:53:19,
click-back into seqr,7/8/2024 15:53:23,
move on from variant,7/8/2024 15:53:27,
new variant review,7/8/2024 15:53:35,
click-out from seqr,7/8/2024 15:53:53,
click-back into seqr,7/8/2024 15:54:03,
note-taking,7/8/2024 15:54:09,VN0000115_ubiquitously_express
click-out from seqr,7/8/2024 15:54:37,
click-back into seqr,7/8/2024 15:54:49,
note-taking,7/8/2024 15:54:51,VN0000116_panel_app_primary_ov
move on from variant,7/8/2024 15:55:03,
new variant review,7/8/2024 15:55:13,
click-out from seqr,7/8/2024 15:55:33,
click-back into seqr,7/8/2024 15:55:43,
note-taking,7/8/2024 15:55:49,VN0000117_not_in_muscle
move on from variant,7/8/2024 15:55:55,
new variant review,7/8/2024 15:56:23,
click-out from seqr,7/8/2024 15:56:25,
click-back into seqr,7/8/2024 15:57:17,
click-out from seqr,7/8/2024 15:57:29,
click-back into seqr,7/8/2024 15:57:51,
note-taking,7/8/2024 15:57:57,VN0000118_ubiquitously_express
move on from variant,7/8/2024 15:58:11,
new variant review,7/8/2024 15:58:37,
click-out from seqr,7/8/2024 15:58:43,
click-back into seqr,7/8/2024 15:59:27,
publication search,7/8/2024 15:59:39,
move on from variant,7/8/2024 16:00:19,
new variant review,7/8/2024 16:00:25,
click-out from seqr,7/8/2024 16:00:27,
click-back into seqr,7/8/2024 16:00:41,
move on from variant,7/8/2024 16:00:57,
click-out from seqr,7/8/2024 16:04:11,
click-back into seqr,7/8/2024 16:04:33,
click-out from seqr,7/8/2024 16:05:17,
click-back into seqr,7/8/2024 16:05:47,
custom search,7/8/2024 16:06:05,VS0000114_
custom search,7/8/2024 16:07:59,VS0000115_
custom search,7/8/2024 16:08:17,VS0000116_
new variant review,7/8/2024 16:08:41,
move on from variant,7/8/2024 16:08:47,
review saved variant,7/8/2024 16:09:05,
note-taking,7/8/2024 16:09:45,VN0000119_no_second_hit
move on from variant,7/8/2024 16:09:49,
new variant review,7/8/2024 16:10:27,
click-out from seqr,7/8/2024 16:10:29,
click-back into seqr,7/8/2024 16:10:57,
move on from variant,7/8/2024 16:11:43,
new variant review,7/8/2024 16:11:57,
click-out from seqr,7/8/2024 16:12:07,
click-back into seqr,7/8/2024 16:12:39,
note-taking,7/8/2024 16:12:51,VN0000120_could_this_be_fshd
move on from variant,7/8/2024 16:13:41,
