action,timestamp,notes
start case,7/15/2024 16:15:07,
custom search,7/15/2024 16:16:19,VS0000181_
custom search,7/15/2024 16:18:08,VS0000182_
custom search,7/15/2024 16:18:26,VS0000183_
new variant review,7/15/2024 16:19:23,
click-out from seqr,7/15/2024 16:19:24,
click-back into seqr,7/15/2024 16:19:38,
move on from variant,7/15/2024 16:19:44,
standard search,7/15/2024 16:19:59,
new variant review,7/15/2024 16:20:10,
click-out from seqr,7/15/2024 16:20:13,
click-back into seqr,7/15/2024 16:20:36,
click-out from seqr,7/15/2024 16:20:42,
click-back into seqr,7/15/2024 16:20:57,
click-out from seqr,7/15/2024 16:21:28,
click-back into seqr,7/15/2024 16:21:36,
click-out from seqr,7/15/2024 16:21:40,
click-back into seqr,7/15/2024 16:21:46,
note-taking,7/15/2024 16:21:57,VN0000253_may_be_a_cytokine_re
click-out from seqr,7/15/2024 16:22:08,
click-back into seqr,7/15/2024 16:22:44,
move on from variant,7/15/2024 16:22:56,
custom search,7/15/2024 16:23:04,VS0000184_
custom search,7/15/2024 16:23:32,VS0000185_
new variant review,7/15/2024 16:24:00,
click-out from seqr,7/15/2024 16:24:00,
click-back into seqr,7/15/2024 16:24:08,
move on from variant,7/15/2024 16:24:10,
new variant review,7/15/2024 16:24:52,
move on from variant,7/15/2024 16:25:23,
new variant review,7/15/2024 16:26:10,
click-out from seqr,7/15/2024 16:26:11,
click-back into seqr,7/15/2024 16:26:16,
move on from variant,7/15/2024 16:26:18,
new variant review,7/15/2024 16:27:04,
move on from variant,7/15/2024 16:27:12,
new variant review,7/15/2024 16:27:24,
move on from variant,7/15/2024 16:27:30,
new variant review,7/15/2024 16:28:42,
click-out from seqr,7/15/2024 16:28:46,
click-back into seqr,7/15/2024 16:28:56,
click-out from seqr,7/15/2024 16:29:02,
click-back into seqr,7/15/2024 16:29:16,
click-out from seqr,7/15/2024 16:29:22,
click-back into seqr,7/15/2024 16:30:26,
note-taking,7/15/2024 16:30:28,VN0000254_de_novo_fs_in_deciph
click-out from seqr,7/15/2024 16:30:40,
click-back into seqr,7/15/2024 16:30:42,
note-taking,7/15/2024 16:30:48,VN0000254_de_novo_fs_in_deciph
move on from variant,7/15/2024 16:31:00,
click-out from seqr,7/15/2024 16:32:01,
click-back into seqr,7/15/2024 16:32:50,
click-out from seqr,7/15/2024 16:32:57,
click-back into seqr,7/15/2024 16:33:48,
custom search,7/15/2024 16:33:48,VS0000186_
custom search,7/15/2024 16:34:06,VS0000187_
new variant review,7/15/2024 16:34:16,
click-out from seqr,7/15/2024 16:34:18,
click-back into seqr,7/15/2024 16:34:26,
move on from variant,7/15/2024 16:34:40,
review saved variant,7/15/2024 16:35:14,
click-out from seqr,7/15/2024 16:35:16,
click-back into seqr,7/15/2024 16:35:31,
click-out from seqr,7/15/2024 16:35:33,
click-back into seqr,7/15/2024 16:35:46,
click-out from seqr,7/15/2024 16:35:47,
click-back into seqr,7/15/2024 16:35:52,
click-out from seqr,7/15/2024 16:36:03,
click-back into seqr,7/15/2024 16:36:22,
note-taking,7/15/2024 16:36:42,VN0000253_may_be_a_cytokine_re
publication search,7/15/2024 16:37:28,
note-taking,7/15/2024 16:38:20,VN0000255_not_in_gnomad_v4
click-out from seqr,7/15/2024 16:38:46,
click-back into seqr,7/15/2024 16:39:20,
note-taking,7/15/2024 16:39:22,VN0000255_not_in_gnomad_v4
publication search,7/15/2024 16:39:44,
publication reading,7/15/2024 16:40:03,PMID:32620384
note-taking,7/15/2024 16:40:20,VN0000256_no_obvious_associati
click-out from seqr,7/15/2024 16:40:48,
click-back into seqr,7/15/2024 16:41:38,
note-taking,7/15/2024 16:41:40,VN0000257_ko_mouse_no_lmd_phe
move on from variant,7/15/2024 16:41:59,
review saved variant,7/15/2024 16:42:04,
publication search,7/15/2024 16:42:06,
click-out from seqr,7/15/2024 16:42:18,
click-back into seqr,7/15/2024 16:42:56,
note-taking,7/15/2024 16:43:12,VN0000258_not_a_phenotype_ma
publication reading,7/15/2024 16:43:18,PMID:36586412
note-taking,7/15/2024 16:43:42,VN0000258_not_a_phenotype_ma
move on from variant,7/15/2024 16:44:10,
standard search,7/15/2024 16:44:22,
review saved variant,7/15/2024 16:44:36,
publication search,7/15/2024 16:44:41,
click-out from seqr,7/15/2024 16:44:43,
click-back into seqr,7/15/2024 16:44:58,
publication reading,7/15/2024 16:45:01,PMID:38278208
publication search,7/15/2024 16:45:26,
click-out from seqr,7/15/2024 16:45:43,
click-back into seqr,7/15/2024 16:46:10,
note-taking,7/15/2024 16:46:15,VN0000259_biallelic_lof_associ
move on from variant,7/15/2024 16:46:32,
custom search,7/15/2024 16:46:42,VS0000188_
publication reading,7/15/2024 16:47:28,PMID:14702087
new variant review,7/15/2024 16:48:15,
click-out from seqr,7/15/2024 16:48:20,
click-back into seqr,7/15/2024 16:48:43,
note-taking,7/15/2024 16:48:45,VN0000260_sai_intron_retention
click-out from seqr,7/15/2024 16:49:04,
click-back into seqr,7/15/2024 16:49:16,
click-out from seqr,7/15/2024 16:49:21,
click-back into seqr,7/15/2024 16:49:34,
publication search,7/15/2024 16:49:39,
note-taking,7/15/2024 16:50:08,VN0000261_low_expressionin_mus
click-out from seqr,7/15/2024 16:50:19,
click-back into seqr,7/15/2024 16:50:36,
note-taking,7/15/2024 16:50:39,VN0000261_low_expressionin_mus
move on from variant,7/15/2024 16:51:34,
new variant review,7/15/2024 16:51:47,
move on from variant,7/15/2024 16:52:02,
new variant review,7/15/2024 16:53:37,
click-out from seqr,7/15/2024 16:53:40,
click-back into seqr,7/15/2024 16:53:43,
move on from variant,7/15/2024 16:53:44,
new variant review,7/15/2024 16:56:23,
