action,timestamp,notes
start case,7/12/2024 13:21:07,
standard search,7/12/2024 13:21:24,
new variant review,7/12/2024 13:22:53,
move on from variant,7/12/2024 13:23:01,
new variant review,7/12/2024 13:23:09,
table interaction,7/12/2024 13:23:11,
publication reading,7/12/2024 13:23:53,
move on from variant,7/12/2024 13:23:59,
standard search,7/12/2024 13:24:55,
new variant review,7/12/2024 13:28:46,
publication search,7/12/2024 13:29:03,
move on from variant,7/12/2024 13:29:13,
new variant review,7/12/2024 13:30:14,
click-out from seqr,7/12/2024 13:30:15,
click-back into seqr,7/12/2024 13:30:25,
click-out from seqr,7/12/2024 13:30:26,
click-back into seqr,7/12/2024 13:30:47,
table interaction,7/12/2024 13:30:49,
publication reading,7/12/2024 13:31:58,PMID:31876103
click-out from seqr,7/12/2024 13:33:09,
click-back into seqr,7/12/2024 13:33:21,
click-out from seqr,7/12/2024 13:33:31,
click-back into seqr,7/12/2024 13:33:41,
move on from variant,7/12/2024 13:33:47,
review saved variant,7/12/2024 13:35:37,
table interaction,7/12/2024 13:35:38,
move on from variant,7/12/2024 13:36:17,
start case,7/12/2024 13:36:21,
standard search,7/12/2024 13:36:41,
new variant review,7/12/2024 13:36:58,
publication search,7/12/2024 13:37:07,
click-out from seqr,7/12/2024 13:37:23,
click-back into seqr,7/12/2024 13:37:30,
move on from variant,7/12/2024 13:38:03,
new variant review,7/12/2024 13:40:47,
click-out from seqr,7/12/2024 13:40:48,
click-back into seqr,7/12/2024 13:40:57,
move on from variant,7/12/2024 13:41:05,
standard search,7/12/2024 13:41:37,
new variant review,7/12/2024 13:44:09,
click-out from seqr,7/12/2024 13:44:09,
click-back into seqr,7/12/2024 13:44:15,
move on from variant,7/12/2024 13:44:15,
new variant review,7/12/2024 13:45:05,
click-out from seqr,7/12/2024 13:45:07,
click-back into seqr,7/12/2024 13:45:19,
table interaction,7/12/2024 13:45:22,
move on from variant,7/12/2024 13:45:45,
new variant review,7/12/2024 13:47:03,
publication search,7/12/2024 13:47:31,
move on from variant,7/12/2024 13:48:05,
new variant review,7/12/2024 13:48:57,
click-out from seqr,7/12/2024 13:48:59,
click-back into seqr,7/12/2024 13:49:00,
click-out from seqr,7/12/2024 13:49:07,
click-back into seqr,7/12/2024 13:49:13,
table interaction,7/12/2024 13:49:17,
move on from variant,7/12/2024 13:50:07,
start case,7/12/2024 13:51:01,
standard search,7/12/2024 13:51:24,
new variant review,7/12/2024 13:51:40,
table interaction,7/12/2024 13:51:41,
publication reading,7/12/2024 13:52:07,PMID:35627254
move on from variant,7/12/2024 13:52:43,
new variant review,7/12/2024 13:52:55,
click-out from seqr,7/12/2024 13:53:25,
click-back into seqr,7/12/2024 13:53:39,
move on from variant,7/12/2024 13:53:55,
new variant review,7/12/2024 13:54:11,
publication search,7/12/2024 13:54:17,
move on from variant,7/12/2024 13:54:33,
new variant review,7/12/2024 13:55:39,
click-out from seqr,7/12/2024 13:55:41,
click-back into seqr,7/12/2024 13:55:45,
click-out from seqr,7/12/2024 13:55:47,
click-back into seqr,7/12/2024 13:55:59,
move on from variant,7/12/2024 13:56:03,
new variant review,7/12/2024 13:56:43,
click-out from seqr,7/12/2024 13:56:44,
click-back into seqr,7/12/2024 13:56:53,
move on from variant,7/12/2024 13:57:05,
standard search,7/12/2024 13:57:15,
standard search,7/12/2024 14:00:05,
review saved variant,7/12/2024 14:01:07,
click-out from seqr,7/12/2024 14:01:15,
click-back into seqr,7/12/2024 14:01:57,
click-out from seqr,7/12/2024 14:02:01,
click-back into seqr,7/12/2024 14:02:23,
table interaction,7/12/2024 14:02:27,
move on from variant,7/12/2024 14:02:49,
start case,7/12/2024 14:04:29,
standard search,7/12/2024 14:04:47,
new variant review,7/12/2024 14:05:09,
publication search,7/12/2024 14:05:19,
click-out from seqr,7/12/2024 14:05:41,
click-back into seqr,7/12/2024 14:06:13,
move on from variant,7/12/2024 14:06:15,
new variant review,7/12/2024 14:06:53,
click-out from seqr,7/12/2024 14:06:55,
click-back into seqr,7/12/2024 14:07:13,
click-out from seqr,7/12/2024 14:07:21,
click-back into seqr,7/12/2024 14:07:27,
move on from variant,7/12/2024 14:07:29,
new variant review,7/12/2024 14:10:03,
table interaction,7/12/2024 14:10:03,
move on from variant,7/12/2024 14:10:11,
new variant review,7/12/2024 14:10:45,
publication search,7/12/2024 14:10:52,
publication search,7/12/2024 14:11:19,
move on from variant,7/12/2024 14:11:33,
standard search,7/12/2024 14:11:57,
new variant review,7/12/2024 14:17:01,
move on from variant,7/12/2024 14:18:11,
new variant review,7/12/2024 14:20:03,
click-out from seqr,7/12/2024 14:20:04,
click-back into seqr,7/12/2024 14:20:09,
click-out from seqr,7/12/2024 14:20:11,
click-back into seqr,7/12/2024 14:20:19,
publication search,7/12/2024 14:20:55,
move on from variant,7/12/2024 14:21:17,
