gene	pmid	cluster
FBN2	16407178	0
FBN2	24036431	0
FBN2	29742989	0
FBN2	32534992	0
FBN2	34456093	0
FBN2	37254066	0
FBN2	38099230	0
ZNF423	33531950	0
ZNF423	33270637	0
TOP2B	37068767	0
SLFN14	37140956	0
COG4	32078278	0
COG4	35455576	0
JPH2	34394822	0
JPH2	29540472	0
TOPBP1	24702692	0
FBN2	9605585	1
FBN2	9714438	1
FBN2	9737771	1
FBN2	10797416	1
FBN2	11285249	1
FBN2	11754102	1
FBN2	15121784	1
FBN2	15912465	1
FBN2	17345643	1
FBN2	18646717	1
FBN2	18767143	1
FBN2	19006240	1
FBN2	19473076	1
FBN2	20161761	1
FBN2	24585410	1
FBN2	27625873	1
FBN2	25493702	1
FBN2	25834781	1
FBN2	25975422	1
FBN2	26114882	1
FBN2	27196565	1
FBN2	27606123	1
FBN2	27912749	1
FBN2	28379158	1
FBN2	28762477	1
FBN2	29864108	1
FBN2	30147916	1
FBN2	31316167	1
FBN2	31624054	1
FBN2	32184806	1
FBN2	32335871	1
FBN2	32702406	1
FBN2	32747207	1
FBN2	33571691	1
FBN2	33638605	1
FBN2	34355836	1
FBN2	35126451	1
FBN2	35154713	1
FBN2	35360850	1
FBN2	35598270	1
FBN2	35804365	1
FBN2	36936417	1
FBN2	37962692	1
FBN2	38326314	1
CTF1	11058912	2
CTF1	24503780	2
CTF1	26084686	2
FBN2	24833718	2
FBN2	24899048	2
FBN2	27007659	2
FBN2	29501612	2
FBN2	31506931	2
FBN2	35754816	2
RNASEH1	33396418	2
DNAJC7	31768050	2
DNAJC7	32897108	2
DNAJC7	33062890	2
DNAJC7	33193563	2
DNAJC7	34233860	2
DNAJC7	35039179	2
DNAJC7	35456894	2
DNAJC7	37870677	2
DNAJC7	38112783	2
ZNF423	32925911	2
MLH3	11586295	2
MLH3	12702580	2
MLH3	12800209	2
MLH3	15193445	2
MLH3	16885347	2
MLH3	16981255	2
MLH3	17656264	2
MLH3	18521850	2
